homeTeam,homeTeamScore,awayTeam,awayTeamScore,videoID,datePlayed
Charlotte Hornets,98,Boston Celtics,108, 88Ds3htwNCs,1/16/17
Cleveland Cavaliers,91,Golden State Warriors,126, RgT8-_OXp24,1/16/17
Detroit Pistons,102,Los Angeles Lakers,97, IM_SM_wowfo,1/15/17
Oklahoma City Thunder,122,Sacramento Kings,118, 9XE-A6w9sBA,1/15/17
Chicago Bulls,108,Memphis Grizzlies,104, 99Z7NPTsjis,1/15/17
Houston Rockets,137,Brooklyn Nets,112, xgxMGpcMEyM,1/15/17
San Antonio Spurs,105,Phoenix Suns,108, 8ZTUfBYFYkg,1/14/17
Los Angeles Lakers,97,Los Angeles Clippers,113, LCaYJ4HVWJw,1/14/17
Memphis Grizzlies,110,Houston Rockets,105, 2CxI-I6KW5M,1/13/17
Oklahoma City Thunder,86,Minnesota Timberwolves,96, rAdkkvFKihY,1/13/17
Detroit Pistons,107,Golden State Warriors,127, 2IRVxWoAYF8,1/12/17
Los Angeles Lakers,94,San Antonio Spurs,134, x2gBpe0oZkA,1/12/17
Chicago Bulls,89,New York Knicks,104, B5x_e4elmDU,1/12/17
Cleveland Cavaliers,86,Portland Trail Blazers,102, P-lINngfQQA,1/11/17
Miami Heat,95,Golden State Warriors,107, CBRCx8CmlVw,1/10/17
Cleveland Cavaliers,92,Utah Jazz,100, ldz9I8aVWfM,1/10/17
Milwaukee Bucks,109,San Antonio Spurs,107, mSpG8y-8a1k,1/10/17
Boston Celtics,106,Toronto Raptors,114, 0EsjI3JqnYU,1/10/17
New Orleans Pelicans,110,New York Knicks,96, 5__4DTfZ0BU,1/9/17
Orlando Magic,95,Los Angeles Lakers,111, P_DdbmtKaps,1/8/17
Golden State Warriors,117,Sacramento Kings,106, 1bgTMiLpTKk,1/8/17
Cleveland Cavaliers,120,Phoenix Suns,116, Sg1axtmZYCg,1/8/17
Houston Rockets,129,Toronto Raptors,122, WC85LW6r1PE,1/8/17
Charlotte Hornets,85,San Antonio Spurs,102, kG-BfC5uIkQ,1/7/17
Toronto Raptors,118,Chicago Bulls,123, 7s0hVKwtjTI,1/7/17
Denver Nuggets,106,Oklahoma City Thunder,121, gcJqBvIlMmE,1/7/17
Miami Heat,100,Los Angeles Lakers,127, ZSEA9Jkb0po,1/6/17
Memphis Grizzlies,128,Golden State Warriors,119, eOFVORC2XJ4,1/6/17
New York Knicks,116,Milwaukee Bucks,111, craSjm19fHw,1/6/17
Cleveland Cavaliers,116,Brooklyn Nets,108, AQtrUAc5FOs,1/6/17
Los Angeles Lakers,109,Portland Trail Blazers,118, gI14F66RR2Q,1/5/17
San Antonio Spurs,127,Denver Nuggets,99, EqywXyAr9qc,1/5/17
Oklahoma City Thunder,116,Houston Rockets,118, NvUnULMCJwk,1/5/17
Memphis Grizzlies,106,Los Angeles Clippers,115, GV4NVJ49FfU,1/4/17
Portland Trail Blazers,117,Golden State Warriors,125, K3WMe28xLCY,1/4/17
Chicago Bulls,106,Cleveland Cavaliers,94, QNYllVAsg8o,1/4/17
Milwaukee Bucks,105,New York Knicks,104, WxXbYz-_YWA,1/4/17
Memphis Grizzlies,102,Los Angeles Lakers,116, qV__n9cvQ6M,1/3/17
Toronto Raptors,82,San Antonio Spurs,110, 1MXqSQFaiUk,1/3/17
Utah Jazz,104,Boston Celtics,115, 2sAM40XEi9s,1/3/17
Denver Nuggets,119,Golden State Warriors,127, b7FU73N2COI,1/2/17
Oklahoma City Thunder,94,Milwaukee Bucks,98, hF-fzOL5_9w,1/2/17
New Orleans Pelicans,82,Cleveland Cavaliers,90, 3EV-PJuv1Fc,1/2/17
Dallas Mavericks,99,Golden State Warriors,108, nsiDml1UiL8,12/30/16
Milwaukee Bucks,99,Minnesota Timberwolves,116, nQSEGJJdJ50,12/30/16
Miami Heat,114,Boston Celtics,117, ViVcvsqj6MA,12/30/16
Oklahoma City Thunder,80,Memphis Grizzlies,114, 6GGIrcL0yxw,12/29/16
Boston Celtics,118,Cleveland Cavaliers,124, jlz2o1FZuVc,12/29/16
Toronto Raptors,111,Golden State Warriors,121, yz4NIVHFiB8,12/28/16
Phoenix Suns,98,San Antonio Spurs,119, u8AIhqykAkk,12/28/16
Brooklyn Nets,99,Chicago Bulls,101, C6hHAN2Lwpk,12/28/16
Milwaukee Bucks,119,Detroit Pistons,94, VNcXU8JDbQU,12/28/16
Utah Jazz,102,Los Angeles Lakers,100, YA7PsZdYcIo,12/27/16
Houston Rockets,123,Dallas Mavericks,107, gFb7SIYL1Og,12/27/16
Memphis Grizzlies,103,Boston Celtics,113, l8HLyA8chYc,12/27/16
Oklahoma City Thunder,106,Miami Heat,94, Iifn4qIuqNk,12/27/16
Toronto Raptors,95,Portland Trail Blazers,91, tbrXU6LvgUY,12/26/16
Indiana Pacers,85,Chicago Bulls,90, dOe8TnemdNQ,12/26/16
Phoenix Suns,115,Houston Rockets,131, 6M0BPH_F4Ak,12/26/16
